trade_id,user_id,symbol,side,quantity,price,version,trade_ts
1,8,TSLA,SELL,,16462.777,1,2026-01-01T01:39:01+00:00
2,27,AMD,BUY,42.3752,17400.1128,1,2025-12-28T07:08:20+00:00
3,7,AMD,buy,55.9999,10616.756,1,2025-12-27T03:58:21+00:00
4,2,AMD,BUY,13.1381,12558.8528,2,2026-01-02T15:48:08+00:00
5,32,MSFT,buy,38.5364,17207.0043,1,2025-12-25T17:58:13+00:00
6,23,MSFT,buy,65.51,2879.5078,1,2025-12-26T13:05:05.160263+00:00
7,1,AMD,buy,44.7835,3094.7518,1,2026-01-01T06:22:06+00:00
8,22,BTC,SELL,78.7438,9244.9513,1,2025-12-26T03:05:52+00:00
9,13,BTC,buy,9.9594,15896.5118,1,2026-01-01T08:58:43+00:00
10,36,AAPL,buy,61.2769,9492.1171,1,2026-01-01T05:47:40+00:00
11,15,AMD,BUY,83.0228,18216.8757,1,2025-12-28T00:53:13+00:00
12,6,ETH,sell,39.4028,,1,2025-12-30T22:48:40+00:00
13,16,AMD,BUY,9.1195,5469.6106,1,2025-12-27T16:23:55+00:00
14,25,TSLA,SELL,79.84,17593.5162,1,2025-12-29T06:56:50+00:00
15,18,BTC,buy,57.823,19506.7576,1,2026-01-03T04:20:41+00:00
16,25,AAPL,SELL,46.8109,5339.2897,1,2026-01-03T20:00:08+00:00
17,46,TSLA,BUY,86.6467,,2,2025-12-25T09:04:24+00:00
18,5,TSLA,BUY,35.23,13778.2932,1,2025-12-30T06:16:10+00:00
19,27,,BUY,,3503.4606,1,2025-12-31T04:04:16+00:00
20,11,TSLA,buy,35.3024,,1,2025-12-28T03:39:25+00:00
21,19,AAPL,buy,32.0186,11798.8927,1,2025-12-31T05:20:45+00:00
22,50,AMD,BUY,66.1507,4291.3873,1,2025-12-26T02:58:50+00:00
23,44,ETH,sell,10.0212,,1,2026-01-02T21:42:40+00:00
24,45,ETH,BUY,30.2097,13344.0292,1,2026-01-01T01:44:16+00:00
6,27,AAPL,buy,67.1791,19668.7408,1,2026-01-03T07:08:52+00:00
26,26,,SELL,1.9289,13596.6702,1,2025-12-29T06:38:56+00:00
27,11,,sell,31.8727,16282.1349,1,2026-01-03T06:39:58+00:00
28,49,TSLA,buy,93.9896,15385.5084,1,2026-01-03T21:32:25+00:00
29,36,ETH,sell,28.1356,11380.4456,1,2025-12-27T15:51:10+00:00
30,8,MSFT,sell,24.6407,4477.1161,1,2026-01-01T01:40:37+00:00
31,16,ETH,nothing,15.5149,3275.6231,1,2025-12-28T19:44:39+00:00
32,23,MSFT,buy,92.7013,12788.6311,1,2026-01-01T01:26:34+00:00
33,48,TSLA,BUY,15.6813,10702.1036,1,2025-12-28T07:42:59+00:00
34,10,AMD,nothing,3.0302,8529.3944,1,2025-12-27T07:18:16+00:00
35,50,MSFT,buy,37.6679,5996.3919,1,2025-12-27T11:47:49+00:00
36,31,TSLA,sell,,13377.9079,1,2025-12-27T07:16:14+00:00
37,47,MSFT,BUY,90.726,1881.5996,1,2025-12-31T06:10:41+00:00
38,23,AMD,buy,56.9876,,1,2025-12-26T22:50:54+00:00
39,25,,BUY,36.9101,14142.4691,1,2025-12-25T08:27:03+00:00
40,2,AMD,SELL,72.1422,12224.0021,1,2026-01-02T06:10:33+00:00
41,17,AMD,sell,28.1383,8800.1872,2,2025-12-26T04:22:15+00:00
96,9,AMD,BUY,,3392.439,1,2025-12-29T03:25:36+00:00
43,21,ETH,buy,56.5595,18913.8825,1,2025-12-28T10:04:58+00:00
44,21,TSLA,buy,83.8148,7313.5576,1,2025-12-26T01:38:16+00:00
45,4,AAPL,BUY,88.8695,19513.1502,1,2025-12-26T15:24:07+00:00
46,4,AMD,buy,91.9234,18276.1508,1,2025-12-31T17:08:59+00:00
47,43,ETH,sell,1.8336,14016.9447,1,2025-12-25T15:50:05+00:00
48,3,MSFT,sell,24.7145,18911.8408,1,2025-12-31T13:45:06+00:00
49,12,,buy,,15210.6657,1,2025-12-30T03:30:26+00:00
50,50,ETH,sell,21.6458,,1,2025-12-31T03:48:46+00:00
51,35,ETH,sell,88.5983,,1,2025-12-25T08:51:32+00:00
52,5,TSLA,nothing,1.7544,14177.1102,1,2025-12-28T23:50:36+00:00
53,35,AAPL,SELL,33.2454,2623.4853,1,2025-12-28T00:45:46+00:00
54,28,,sell,85.5048,5297.8804,1,2025-12-27T13:05:05.160641+00:00
55,6,TSLA,BUY,16.1275,17700.5944,1,2025-12-26T11:09:53+00:00
56,23,TSLA,SELL,46.011,13319.2421,1,2025-12-27T13:05:05.160660+00:00
57,29,MSFT,SELL,11.0529,11466.0234,1,2026-01-03T18:46:49+00:00
58,4,BTC,sell,84.7471,10919.0749,1,2026-01-03T14:08:54+00:00
59,8,ETH,sell,94.9856,13842.8289,1,2025-12-26T22:24:22+00:00
60,35,ETH,buy,91.8782,2964.8198,1,2025-12-31T04:41:39+00:00
61,9,ETH,sell,56.4356,17252.6119,2,2026-01-03T22:42:03+00:00
62,12,TSLA,nothing,28.1759,13086.5614,1,2025-12-27T13:35:23+00:00
63,28,MSFT,SELL,71.2943,11263.9018,1,2025-12-25T10:13:11+00:00
64,40,ETH,SELL,94.2068,1017.3349,1,2025-12-31T19:49:42+00:00
65,23,,nothing,64.0183,12444.6809,1,2025-12-27T13:05:05.160738+00:00
66,2,MSFT,SELL,13.0782,4631.4117,1,2025-12-25T13:05:05.160746+00:00
67,37,TSLA,SELL,97.9938,17310.7116,1,2025-12-30T07:41:35+00:00
68,1,MSFT,BUY,70.4775,18048.6311,1,2025-12-29T20:36:50+00:00
69,30,BTC,buy,82.2538,12133.2267,1,2025-12-31T04:55:20+00:00
